ID,Sex,Age,Group,GH,M1X,M1Y,M1Z,M2X,M2Y,M2Z,M3X,M3Y,M3Z,R1X,R1Y,R1Z,L1X,L1Y,L1Z,R2X,R2Y,R2Z,L2X,L2Y,L2Z,R3X,R3Y,R3Z,L3X,L3Y,L3Z,R4X,R4Y,R4Z,L4X,L4Y,L4Z,R5X,R5Y,R5Z,L5X,L5Y,L5Z,R6X,R6Y,R6Z,L6X,L6Y,L6Z,M4X,M4Y,M4Z,R7X,R7Y,R7Z,L7X,L7Y,L7Z,R8X,R8Y,R8Z,L8X,L8Y,L8Z,M5X,M5Y,M5Z,M6X,M6Y,M6Z,R9X,R9Y,R9Z,L9X,L9Y,L9Z,R11X,R11Y,R11Z,L11X,L11Y,L11Z,R12X,R12Y,R12Z,L12X,L12Y,L12Z,R13X,R13Y,R13Z,L13X,L13Y,L13Z,M7X,M7Y,M7Z,M8X,M8Y,M8Z,R14X,R14Y,R14Z,L14X,L14Y,L14Z
A20,F,21,A,Sufficient,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
A20,F,28,A,Sufficient,2.3794,1.30761,1.72087,2.47928,1.65031,1.80463,2.52506,1.89267,1.57442,3.15618,2.07212,1.50006,1.99668,2.37117,1.61549,3.56242,1.99642,0.711514,1.51925,2.46396,0.904421,4.01676,1.44586,1.08202,0.91353,2.17651,1.33249,3.8074,2.08136,2.27508,1.54246,2.58682,2.41619,3.63096,2.48832,3.7334,2.03837,2.81428,3.88289,4.08734,1.92293,3.39237,1.42328,2.55006,3.62969,2.7677,2.47055,3.52346,3.15069,3.04178,1.81924,2.49345,3.19894,1.85028,3.23635,3.18867,2.29791,2.54783,3.33089,2.33422,2.68337,2.86721,1.11908,2.93429,3.94497,1.21427,3.61773,3.08811,1.08605,1.89398,3.45894,1.20862,3.83095,2.65725,1.14689,1.56165,3.16157,1.41122,4.07206,2.71514,2.559,1.62311,3.36071,3.00016,3.97589,3.02755,2.43917,1.86847,3.50763,2.67273,3.01135,3.37054,3.31905,3.23353,4.53624,3.09585,3.99432,3.59676,3.20647,2.26637,4.16601,3.38736
A20,F,60,A,Sufficient,2.24507,0.740604,0.881243,2.47657,1.31028,1.21245,2.53569,1.60665,0.983618,3.1024,1.91652,1.15362,2.05238,2.14772,1.17752,3.72941,1.90228,0.0724117,1.49972,2.3121,0.0530335,4.199,1.12414,0.529979,0.759826,1.74544,0.559492,3.75895,1.72888,2.16321,1.38227,2.22381,2.15032,3.30564,2.10705,3.94406,1.85148,2.3897,3.89839,4.04258,1.37294,3.59435,0.945696,1.95291,3.48149,2.5587,2.09339,3.47567,3.16722,2.90893,1.64549,2.45073,3.03479,1.59583,3.20435,2.97109,2.35514,2.43229,3.07998,2.2741,2.7434,2.80414,0.652753,2.97256,4.04397,0.950713,3.71816,2.91028,0.765272,1.79433,3.21699,0.721877,3.99511,2.71278,0.83822,1.44012,3.08819,0.932527,4.05988,2.46683,2.81289,1.32883,2.95398,3.10698,3.91556,2.86516,2.63602,1.60579,3.23722,2.70516,2.75807,3.07779,3.57131,3.00325,4.47909,3.54607,3.91672,3.44372,3.6348,1.86947,3.74632,3.63898
A24,M,21,A,Sufficient,2.19615,1.63171,1.87022,2.23954,1.86236,1.87534,2.22506,2.04664,1.7283,2.8517,2.22348,1.61049,1.65263,2.33987,1.70877,3.25966,2.28616,0.886484,1.17107,2.45431,1.10005,3.75536,1.96973,1.20516,0.787803,2.17327,1.47556,3.42459,2.39557,2.1698,1.17495,2.65083,2.2947,3.13993,2.72815,3.4574,1.71391,2.9846,3.67628,3.66193,2.41664,3.06175,1.07955,2.71794,3.33491,2.4338,2.67971,3.39382,2.67144,3.26493,1.83903,2.06093,3.32444,1.92606,2.77482,3.44852,2.34897,2.06995,3.46913,2.27103,2.28357,3.03518,1.3002,2.38352,3.99349,1.24855,3.22537,3.23497,1.23464,1.52216,3.41046,1.3003,3.41829,2.99683,1.2467,1.25441,3.11415,1.37605,3.5356,3.10791,2.36017,1.23714,3.34317,2.56032,3.47507,3.36044,2.28997,1.34646,3.54274,2.45636,2.46181,3.56634,2.9762,2.54683,4.63346,2.68465,3.31933,3.94503,2.84504,1.63379,4.12731,2.90182
A24,M,28,A,Sufficient,2.23353,1.48589,1.66599,2.36261,1.93254,1.76099,2.42543,2.16083,1.62189,3.03904,2.26365,1.58062,2.01048,2.64751,1.67277,3.44345,2.18455,0.756044,1.61003,2.73708,1.08426,3.89435,1.56041,0.938423,0.901409,2.54427,1.47004,3.76603,2.19931,2.19986,1.57812,2.98741,2.49959,3.70427,2.60831,3.76913,2.27308,3.13274,3.93464,4.01812,2.05041,3.38618,1.46376,2.97092,3.67612,2.82976,2.73447,3.59846,3.20341,3.23714,1.79666,2.55276,3.47886,1.98034,3.35322,3.44704,2.52169,2.65889,3.60468,2.44933,2.69652,3.17042,1.14809,3.00561,4.17559,1.25318,3.61473,3.21881,1.12702,2.01973,3.73174,1.26913,3.85874,2.85618,1.19863,1.65044,3.56037,1.44247,4.10557,2.87485,2.57818,1.77105,3.70593,2.93567,3.97595,3.1526,2.46449,2.02375,3.86477,2.74089,3.10538,3.62306,3.328,3.44617,4.74278,3.17614,4.13812,3.84159,3.24836,2.42903,4.50921,3.46524
A24,M,35,A,Sufficient,2.34673,0.852095,1.14682,2.51542,1.54313,1.25517,2.5194,1.81773,1.15473,3.02856,2.09304,1.19422,1.97721,2.18893,1.14945,3.61002,2.11007,0.261654,1.59078,2.34305,0.448403,4.20297,1.53552,0.51125,0.834518,1.76464,0.567796,3.79653,2.12606,2.02229,1.38992,2.35278,2.10502,3.42885,2.41008,3.74294,1.87353,2.58288,3.80199,3.96895,1.95215,3.25907,1.13904,2.2748,3.33049,2.61762,2.41853,3.38657,2.99859,3.10485,1.66969,2.36633,3.18318,1.80177,3.07719,3.26432,2.36181,2.33484,3.28818,2.25831,2.64142,2.90167,0.737452,2.73904,4.08705,0.929065,3.6126,3.21126,0.799001,1.69955,3.43248,0.858706,3.91144,2.94288,0.923288,1.34383,3.08205,0.932415,3.91686,2.89653,2.62718,1.40483,3.24384,2.65421,3.82482,3.17868,2.52334,1.57188,3.38512,2.59,2.76466,3.41513,3.33843,2.84265,4.68883,3.20025,3.78897,3.86609,3.31854,1.74719,4.0639,3.39757
A24,M,45,A,Sufficient,3.30123,1.05959,0.9869,3.26459,1.92374,1.24255,3.19135,2.17384,1.12317,3.6029,2.601,1.23145,2.65062,2.4923,1.15609,4.0674,2.71401,0.411282,2.40081,2.49598,0.424713,5.09328,2.24804,0.642527,1.58677,1.58719,0.319055,4.23459,2.78401,2.19063,1.8794,2.46801,2.04989,3.596,2.94966,3.93563,2.1378,2.91249,3.93086,4.39321,2.53181,3.56027,1.51401,2.20941,3.44799,2.9433,2.74688,3.45057,3.2761,3.72463,1.83724,2.63799,3.58472,1.82458,3.23825,3.81061,2.23436,2.5474,3.66774,2.20136,3.10119,3.3168,0.733418,2.84945,4.52228,0.855335,3.93247,3.84264,0.764222,1.99688,3.5409,0.699132,4.31898,3.71008,0.955882,1.82902,3.22537,0.810868,4.2712,3.63788,2.93708,1.53394,3.28377,2.7523,4.04932,3.87804,2.74294,1.77814,3.5197,2.5337,2.8673,3.83037,3.49753,2.64954,5.10815,3.29776,3.82621,4.63367,3.5817,1.59358,4.25117,3.38896
A24,M,60,A,Sufficient,3.13263,0.939402,0.83592,3.07665,1.82387,1.13093,3.03458,2.20528,1.01546,3.46893,2.60148,1.08876,2.48809,2.50543,1.0217,3.93378,2.68145,0.233724,2.22267,2.53293,0.231223,4.91119,2.1162,0.426441,1.3641,1.63252,0.323712,4.10345,2.81091,2.01737,1.72923,2.54082,1.90202,3.53574,3.13218,3.87218,1.98858,2.95184,3.89072,4.31699,2.49323,3.49122,1.27693,2.22125,3.41277,2.84023,2.77895,3.36397,3.18111,3.64014,1.56099,2.48913,3.6122,1.63155,3.1192,3.80336,2.43338,2.41847,3.66384,2.16021,2.93562,3.36757,0.510282,2.79117,4.57891,0.732323,3.84202,3.81304,0.636287,1.89106,3.55366,0.576563,4.08887,3.67707,0.786311,1.69877,3.29194,0.674051,4.12716,3.60197,2.8439,1.44451,3.35625,2.72161,3.97431,3.87313,2.5752,1.66749,3.55714,2.50422,2.68455,3.85172,3.42166,2.5372,5.22785,3.27193,3.70562,4.61309,3.57046,1.48609,4.323,3.43976
A26,F,21,A,Sufficient,2.63249,1.44445,1.88605,2.63669,1.63219,1.85777,2.61883,1.75819,1.73246,3.27705,2.02557,1.5246,2.0077,2.17884,1.69129,3.59292,1.96364,0.886456,1.5307,2.27282,1.14655,4.08246,1.54895,1.17772,1.09254,2.02277,1.61106,3.96358,2.11907,2.05442,1.57802,2.45906,2.36161,3.7944,2.43843,3.35375,2.16612,2.74793,3.59179,4.17695,2.0684,3.00717,1.60209,2.53056,3.37988,2.93184,2.42323,3.28952,3.21926,2.99303,1.7939,2.55026,3.0594,1.80592,3.34657,3.15226,2.24879,2.57572,3.21768,2.18909,2.76774,2.77647,1.1779,2.92012,3.7115,1.13162,3.60858,3.00887,1.07649,2.06627,3.22812,1.22894,3.96094,2.63039,1.10004,1.61107,2.97155,1.39519,4.06047,2.73178,2.2445,1.68724,3.14031,2.60679,4.02087,2.93051,2.19603,1.81951,3.31241,2.43678,3.01693,3.31894,2.90865,3.19356,4.30845,2.56969,3.91878,3.64243,2.71325,2.2336,3.87878,2.8228
A26,F,28,A,Sufficient,2.39286,1.4175,1.8997,2.43232,1.8206,1.93874,2.43917,2.00631,1.80801,3.03099,2.41135,1.71653,1.82723,2.37263,1.86252,3.30072,2.35419,0.952242,1.30303,2.47268,1.20619,3.96086,1.79504,1.2164,0.693075,1.93152,1.61917,3.75313,2.49645,2.35861,1.23745,2.61549,2.61897,3.4396,2.85336,3.84755,2.02402,2.88961,3.96908,4.02004,2.38549,3.38648,1.29892,2.58012,3.83324,2.62038,2.74574,3.72139,2.88875,3.35929,2.11006,2.17057,3.33612,2.10829,3.00111,3.49199,2.63988,2.21798,3.49632,2.53953,2.4605,3.05431,1.23636,2.55596,4.17616,1.36001,3.34638,3.32598,1.24454,1.61171,3.40116,1.39153,3.68576,3.06294,1.28751,1.30448,3.09967,1.56601,3.88072,3.2407,2.68657,1.31671,3.40191,3.17769,3.76281,3.49884,2.63681,1.45461,3.53534,2.84916,2.66783,3.6495,3.47267,2.75213,4.81746,3.17607,3.63896,4.20166,3.38793,1.74439,4.24811,3.55736
A26,F,35,A,Sufficient,2.33742,0.987018,1.08643,2.4051,1.47419,1.22339,2.43514,1.67087,1.12323,3.02612,2.10654,1.18908,1.86398,2.11467,1.22815,3.36654,2.12088,0.346292,1.37873,2.25214,0.410373,4.10463,1.41118,0.626113,0.70641,1.6237,0.785762,3.72065,2.07624,1.98229,1.18218,2.24473,2.05568,3.30577,2.2705,3.67918,1.76564,2.49863,3.69243,3.9374,1.739,3.26104,1.0951,1.96785,3.35758,2.57878,2.13844,3.34697,2.90216,3.02763,1.72542,2.2058,3.05812,1.67894,2.96996,3.09798,2.38802,2.15093,3.13539,2.2122,2.50854,2.85122,0.699238,2.63385,4.01246,0.958878,3.53495,3.12743,0.823722,1.62039,3.25878,0.871265,3.79409,2.87599,0.874456,1.26725,3.00903,0.962901,3.87532,2.7929,2.50434,1.17237,3.02306,2.80986,3.77675,3.04063,2.4742,1.39455,3.20623,2.52711,2.61851,3.19262,3.3082,2.71754,4.46364,3.18244,3.68251,3.72979,3.3634,1.57465,3.86434,3.39337
A26,F,45,A,Sufficient,3.37461,1.26805,1.06417,3.26294,1.93495,1.1961,3.24645,2.12191,1.10474,3.7019,2.6932,1.2134,2.60281,2.43489,1.15089,4.06752,2.72505,0.321911,2.1513,2.30842,0.175663,5.01215,2.84262,0.451597,1.53429,1.48143,0.557387,4.25629,2.79506,2.15786,1.83298,2.30202,2.03189,3.64639,3.17897,3.85463,2.15909,2.80793,3.80905,4.62925,2.72758,3.48122,1.66757,2.02273,3.31848,3.03254,2.77162,3.38029,3.3155,3.60875,1.79482,2.58639,3.41521,1.56342,3.32683,3.69797,2.37082,2.46979,3.5728,2.22512,3.04497,3.30186,0.584304,2.77151,4.51339,0.857348,3.88926,3.85608,0.706206,2.01802,3.47584,0.756478,4.27426,3.71324,0.885812,1.72386,3.15152,0.774145,4.17997,3.69353,2.66015,1.51575,3.13885,2.78295,4.00346,3.91984,2.59895,1.63771,3.42638,2.5069,2.78676,3.79122,3.41381,2.53741,5.06455,3.15017,3.68268,4.5549,3.46476,1.59983,4.15039,3.37407
A26,F,60,A,Sufficient,3.44986,1.30415,1.1696,3.29661,2.00739,1.30331,3.25479,2.28161,1.17295,3.67165,2.85438,1.27559,2.60587,2.54857,1.23429,4.25481,2.86498,0.171725,2.296,2.42552,0.346263,5.09954,2.42229,0.85743,1.57971,1.5311,0.601401,4.26893,3.0572,2.22663,1.78031,2.50339,2.05081,3.55922,3.22118,3.99173,2.04981,3.05287,3.99666,4.59363,2.96835,3.61497,1.54043,2.22841,3.44548,2.93305,3.03206,3.50504,3.32184,3.81538,1.68879,2.59867,3.61239,1.59085,3.25134,4.0101,2.51732,2.40135,3.77603,2.22968,3.05726,3.41578,0.607597,2.82837,4.6364,0.747625,3.93065,3.99895,0.750127,2.02963,3.54624,0.623843,4.3127,3.82951,0.865601,1.74955,3.21287,0.742958,4.21008,3.89621,2.74938,1.45365,3.34635,2.82792,3.96013,4.16497,2.68636,1.63025,3.5886,2.53797,2.67108,4.0615,3.45329,2.46086,5.36948,3.05315,3.66421,4.85569,3.51799,1.50595,4.35807,3.34862
A29,F,21,A,Sufficient,3.28127,1.83027,2.0315,3.29672,2.01283,2.03635,3.29549,2.20534,1.86933,3.90432,2.46449,1.6943,2.68289,2.48354,1.8423,4.20521,2.51726,1.20526,2.2266,2.59449,1.35422,4.78196,2.28388,1.27025,1.77668,2.23305,1.63922,4.45864,2.63458,2.34687,2.25397,2.63987,2.60796,4.27334,2.87104,3.6699,2.69164,2.9235,3.78978,4.72671,2.55466,3.26667,2.17332,2.60146,3.5297,3.4385,2.74523,3.60611,3.69654,3.39663,2.03031,2.99126,3.44023,2.14091,3.75723,3.61205,2.53611,2.99868,3.62927,2.66673,3.22993,3.22114,1.47961,3.21762,4.16045,1.49914,4.02695,3.57619,1.43173,2.47782,3.60652,1.60651,4.40549,3.21891,1.40993,2.14114,3.26628,1.67357,4.6253,3.27923,2.65081,2.22567,3.29287,2.8051,4.44225,3.49463,2.52381,2.29556,3.51815,2.71708,3.4481,3.66071,3.25002,3.43157,4.68321,3.03018,4.24771,4.01179,3.13449,2.65274,4.12777,3.27298
A29,F,35,A,Sufficient,2.4639,1.69143,1.39409,2.56966,2.22691,1.48283,2.5906,2.36189,1.39318,3.12246,2.7229,1.37178,2.05943,2.83931,1.41924,3.57799,2.74148,0.528505,1.61228,2.84118,0.674661,4.29441,2.17519,0.798406,0.884184,2.37345,0.911159,3.84554,2.87615,2.21976,1.43733,3.05996,2.30392,3.48749,3.17725,3.90352,1.8925,3.39097,3.95733,4.14597,2.67043,3.39939,1.21451,2.93957,3.49808,2.70275,3.12686,3.59491,3.05903,3.74104,1.82794,2.35033,3.83919,1.90502,3.14934,3.90266,2.48634,2.37469,3.99737,2.51708,2.65444,3.49163,0.89358,2.74389,4.72545,0.971794,3.6091,3.76009,0.946471,1.7868,3.91678,0.954779,3.84761,3.50119,1.0025,1.44058,3.67041,1.16302,4.14258,3.5698,2.80777,1.42723,3.81694,2.82927,3.8938,3.89589,2.60382,1.67584,4.04626,2.69791,2.76374,4.11006,3.46425,2.83762,5.41862,3.20295,3.85412,4.57571,3.4045,1.72747,4.82148,3.43615
A29,F,45,A,Sufficient,2.32909,1.2539,0.972464,2.48839,1.81115,1.16684,2.53296,2.05349,1.08219,3.13559,2.38367,1.14089,2.03094,2.54555,1.14162,3.68172,2.42856,0.178012,1.7077,2.63716,0.40248,4.33338,1.79969,0.611839,0.747343,2.18337,0.535533,3.79548,2.37988,2.10234,1.38046,2.65635,2.11852,3.27776,2.49487,3.824,1.80747,2.7797,3.81437,3.97909,1.90509,3.28888,1.0321,2.37059,3.36854,2.52995,2.49538,3.46821,3.05149,3.37312,1.75476,2.35063,3.47738,1.75519,3.10564,3.52197,2.33972,2.32812,3.57858,2.46654,2.70437,3.25685,0.665753,2.88607,4.49085,0.994591,3.66262,3.51188,0.858627,1.83148,3.76502,0.849414,3.92449,3.205,0.889587,1.47046,3.50569,0.94361,4.08252,2.95945,2.84138,1.33175,3.38844,2.73874,3.91445,3.27848,2.65477,1.57196,3.6133,2.6493,2.74089,3.52353,3.53638,2.91895,4.85811,3.44543,3.82047,3.91625,3.58314,1.74844,4.26949,3.54743
A30,M,21,A,Sufficient,2.31815,1.03233,1.82857,2.2627,1.24388,1.85775,2.16628,1.4063,1.70272,2.74859,1.8561,1.6347,1.62418,1.54077,1.71442,3.06075,2.05486,1.13843,1.18646,1.66058,1.07915,3.60158,1.77776,1.45817,0.856911,1.15894,1.38631,3.26492,2.01108,2.36745,1.06665,1.50883,2.26999,2.88446,2.06878,3.65043,1.32558,1.71308,3.61039,3.39102,1.91559,3.25317,0.969408,1.37744,3.19407,2.1388,1.79526,3.44406,2.32431,2.64873,1.95998,1.6834,2.52982,1.96535,2.2735,2.73853,2.50508,1.65734,2.60845,2.45496,2.01375,2.50044,1.36615,1.86083,3.35596,1.47181,2.69846,2.85998,1.40483,1.18778,2.58314,1.40249,3.11456,2.69029,1.4768,0.928288,2.22061,1.42558,3.22782,2.64207,2.84117,0.887756,2.04989,2.51556,3.04913,2.86198,2.56242,0.924558,2.3831,2.4629,1.95148,2.69517,3.15408,1.7354,3.76223,2.97901,2.6839,3.33139,3.122,1.07007,2.8408,3.09475
A30,M,28,A,Sufficient,3.0641,1.67745,1.68425,3.0586,2.0366,1.74632,3.02488,2.2849,1.60002,3.51379,2.71847,1.57931,2.44525,2.54371,1.69517,3.8928,2.88381,0.809795,1.95814,2.58587,0.961617,4.59824,2.43502,1.11468,1.51889,2.00753,1.3279,4.17992,2.89576,2.36333,1.89287,2.60045,2.51859,3.82371,3.09906,3.85986,2.33202,2.9388,3.98163,4.44678,2.78204,3.33173,1.84772,2.47912,3.5024,3.08828,2.92355,3.63788,3.21945,3.59096,1.89127,2.63541,3.55087,1.96863,3.22899,3.73747,2.41507,2.58512,3.68616,2.52335,2.90431,3.42278,1.14271,2.79016,4.45648,1.34239,3.68529,3.86274,1.19202,1.95084,3.64117,1.26132,4.05182,3.57762,1.27808,1.77908,3.20883,1.41124,4.30511,3.59556,2.98989,1.75326,3.25309,2.74807,4.0719,3.90614,2.55316,1.86587,3.47665,2.64091,2.97923,3.8686,3.43805,2.83845,4.96224,3.13521,3.82381,4.55612,3.32853,2.01167,4.22961,3.46116
A30,M,35,A,Sufficient,2.27416,1.13061,1.44002,2.38265,1.68698,1.55052,2.40204,1.93921,1.43291,2.93176,2.35309,1.48671,1.94801,2.44015,1.54663,3.39885,2.4536,0.55896,1.47433,2.59921,0.708222,4.01476,1.6959,0.860372,0.75251,1.96973,0.999879,3.68748,2.34209,2.30722,1.31168,2.55474,2.45544,3.25088,2.60554,4.00335,2.03322,2.60933,3.994,3.92661,2.05213,3.60486,1.18021,2.32837,3.68565,2.64782,2.53895,3.75759,2.85875,3.29564,1.85884,2.20355,3.40246,1.94062,2.89429,3.40726,2.56756,2.22961,3.50606,2.55536,2.52108,3.23527,1.03757,2.65849,4.38852,1.43174,3.51258,3.47847,1.17138,1.6042,3.59829,1.15452,3.70197,3.14379,1.1809,1.36219,3.23747,1.26136,3.965,3.02247,3.3341,1.27088,3.23896,3.05543,1.71222,4.10212,3.66679,1.48725,3.46616,2.78782,2.68915,3.54133,3.61135,2.78802,4.76065,3.40489,3.74413,3.98191,3.54425,1.71222,4.10212,3.66679
A30,M,45,A,Sufficient,2.97416,0.955407,0.944492,2.9559,1.58127,1.1459,2.92411,1.89022,1.04726,3.28858,2.41153,1.19429,2.40933,2.29683,1.13632,3.94267,2.67682,0.198883,1.97213,2.37815,0.173634,4.66614,1.94905,0.685435,1.33168,1.4834,0.396366,3.97763,2.48294,2.17528,1.61604,2.22995,1.99872,3.36639,2.65557,3.97731,1.99353,2.531,3.90584,4.24444,2.18819,3.49745,1.28758,1.85389,3.41654,2.743,2.43338,3.55613,2.98587,3.43691,1.77599,2.34557,3.37944,1.66716,2.99493,3.51634,2.30189,2.24874,3.39445,2.31231,2.77332,3.2593,0.683658,2.64132,4.46882,1.13936,1.81783,3.33015,0.678388,3.73886,3.61412,0.84767,4.00086,3.43436,0.9699,1.56349,3.0446,0.802453,4.09907,3.26827,3.4336,1.28013,2.93145,2.79603,3.79388,3.59173,2.73471,1.5397,3.24815,2.50077,2.58818,3.48867,3.46234,2.44791,4.76174,3.23588,3.60871,4.21381,3.54905,1.42346,3.83963,3.43496
A30,M,60,A,Sufficient,2.46681,1.00873,0.940683,2.72158,1.66058,1.16102,2.81034,2.01117,0.991055,3.44455,2.30455,1.02393,2.45291,2.59259,1.00604,3.74651,2.24505,0.157869,2.10781,2.75877,0.133248,4.38813,1.3146,0.495518,1.06783,2.20022,0.506643,4.18754,2.13241,1.99216,1.86666,2.8265,2.0605,3.88096,2.70317,3.84097,2.55985,3.09987,3.89082,4.4818,1.7836,3.41233,1.54121,2.66223,3.50222,3.15378,2.6378,3.53123,3.62116,3.32088,1.41161,2.94909,3.59331,1.52746,3.70068,3.45214,2.23248,2.93314,3.72078,2.2439,3.23025,3.263,0.488304,3.55107,4.46623,0.81791,4.22494,3.3535,0.566135,2.37421,3.92135,0.558308,4.38372,2.9286,0.695285,1.99042,3.59309,0.717816,4.7148,2.90724,3.22029,1.91802,3.63069,2.87144,4.49275,3.22169,2.51931,2.26765,3.818,2.52712,3.39081,3.73196,3.38711,3.74552,4.91564,3.17012,4.59579,3.89112,3.28804,2.54462,4.57602,3.39814
A33,F,21,A,Sufficient,2.29308,1.29043,1.92006,2.34125,1.46813,1.93348,2.31615,1.5959,1.78426,2.92752,1.94683,1.6523,1.67517,1.88502,1.73214,3.29824,2.05183,1.15343,1.27997,1.93663,1.12024,3.79649,1.8116,1.42699,0.86524,1.60282,1.40321,3.40661,2.15855,2.26555,1.15923,2.00966,2.27597,2.99405,2.32291,3.55192,1.49127,2.21844,3.51798,3.533,2.04227,3.1789,1.00114,1.95531,3.1784,2.21075,2.06133,3.42755,2.57543,2.84144,1.86139,1.89503,2.8321,1.88061,2.56215,3.0097,2.31678,1.89074,2.99826,2.42344,2.29249,2.67652,1.33811,2.23493,3.56882,1.4085,3.01745,2.96849,1.35825,1.51784,2.9254,1.32047,3.3945,2.69512,1.42609,1.18248,2.55314,1.39179,3.44097,2.74421,2.56771,1.06573,2.63814,2.52944,3.33402,2.97819,2.40997,1.13892,2.84925,2.40933,2.21744,3.05153,3.02146,2.15965,4.06221,2.89148,2.98038,3.53922,3.02578,1.39079,3.44345,2.98169
A33,F,28,A,Sufficient,2.30638,1.42621,1.64523,2.41664,1.80487,1.70857,2.41638,1.98152,1.57574,2.994,2.29537,1.52497,1.87756,2.40686,1.66451,3.50816,2.3422,0.728164,1.46061,2.55414,0.942321,4.06082,1.86933,1.11426,0.769247,2.16289,1.34198,3.62757,2.38359,2.29269,1.30767,2.56465,2.36292,3.23749,2.56557,3.77927,1.83985,2.74646,3.81383,3.88307,2.22466,3.33683,1.12378,2.51642,3.46963,2.47219,2.48588,3.59397,2.88245,3.20722,1.80379,2.26367,3.35486,1.92959,2.92193,3.4136,2.4992,2.28638,3.45671,2.47631,2.55037,3.11041,1.14362,2.6542,4.1345,1.30447,3.4516,3.32376,1.16888,1.7488,3.62184,1.18299,3.66512,3.04779,1.24011,1.40163,3.22984,1.35267,3.88251,3.09815,2.76167,1.27669,3.34898,2.83587,3.70606,3.30927,2.54266,1.48827,3.50374,2.60314,2.63764,3.52871,3.33898,2.70035,4.69953,3.22604,3.62532,4.04423,3.35008,1.75261,4.09655,3.40088
A33,F,35,A,Sufficient,2.30712,1.03621,1.36266,2.42153,1.55662,1.45355,2.40852,1.74535,1.30517,2.9389,2.1487,1.3131,1.8326,2.18411,1.42566,3.44949,2.24168,0.476991,1.50028,2.26375,0.663261,4.12559,1.66892,0.95731,0.681509,1.70269,1.041,3.59859,2.21342,2.21863,1.19594,2.30246,2.27586,3.13499,2.3263,3.91522,1.74036,2.47952,3.91671,3.84556,1.97931,3.47362,0.935982,2.09276,3.54018,2.41023,2.15402,3.60492,2.74022,3.12097,1.87871,2.16117,3.15484,1.89441,2.77501,3.23631,2.24664,2.11409,3.248,2.44422,2.47344,2.92321,0.958588,2.50472,4.02078,1.15395,3.43891,3.20313,1.01734,1.55871,3.29857,0.992661,3.64751,3.03815,1.06274,1.29426,2.99849,1.13293,3.80384,2.94914,2.90723,1.11243,3.05265,2.93915,3.64054,3.19489,2.65562,1.37011,3.25975,2.68242,2.49516,3.27187,3.3871,2.44423,4.57034,3.33163,3.51664,3.93057,3.52223,1.42025,3.87022,3.52106
A33,F,45,A,Sufficient,2.33867,0.707934,1.15437,2.45977,1.32323,1.29001,2.48286,1.544,1.09815,1.88931,1.95085,1.20975,2.91704,1.95092,1.15277,3.52572,2.0263,0.27111,1.49213,1.99032,0.289801,4.303,1.50356,0.784137,0.787218,1.3951,0.639363,3.61614,2.06501,2.1724,1.16289,2.06791,2.13777,3.15965,2.23657,3.97626,1.67566,2.37221,3.88893,3.94563,1.84684,3.47911,0.886146,1.85381,3.42304,2.42423,2.10264,3.59194,2.76897,2.9688,1.80223,2.08898,2.9721,1.64483,2.77682,3.05257,2.16315,2.05534,3.11169,2.34566,2.48386,2.74326,0.697975,2.5105,3.9858,0.934853,3.45294,3.14985,0.740463,1.57967,3.23972,0.770375,3.66843,2.87776,0.861538,1.29823,2.83275,0.819415,3.8234,2.91374,2.91551,1.05506,2.86599,2.90287,3.59686,3.12437,2.62058,1.28668,3.1462,2.61949,2.39502,3.22912,3.43047,2.44039,4.58769,3.24371,3.46058,3.82591,3.49458,1.38703,3.84057,3.44691
