ID,Sex,Age,Group,GH,M1X,M1Y,M1Z,M2X,M2Y,M2Z,M3X,M3Y,M3Z,R1X,R1Y,R1Z,L1X,L1Y,L1Z,R2X,R2Y,R2Z,L2X,L2Y,L2Z,R3X,R3Y,R3Z,L3X,L3Y,L3Z,R4X,R4Y,R4Z,L4X,L4Y,L4Z,R5X,R5Y,R5Z,L5X,L5Y,L5Z,R6X,R6Y,R6Z,L6X,L6Y,L6Z,M4X,M4Y,M4Z,R7X,R7Y,R7Z,L7X,L7Y,L7Z,R8X,R8Y,R8Z,L8X,L8Y,L8Z,M5X,M5Y,M5Z,M6X,M6Y,M6Z,R9X,R9Y,R9Z,L9X,L9Y,L9Z,R11X,R11Y,R11Z,L11X,L11Y,L11Z,R12X,R12Y,R12Z,L12X,L12Y,L12Z,R13X,R13Y,R13Z,L13X,L13Y,L13Z,M7X,M7Y,M7Z,M8X,M8Y,M8Z,R14X,R14Y,R14Z,L14X,L14Y,L14Z
A93,M,28,A,Sufficient,2.27385,0.473153,1.25166,2.23496,0.954676,1.28397,2.23066,1.08275,1.17796,1.59602,1.40864,1.21335,2.80614,1.61913,1.04826,3.08218,1.70846,0.381122,1.33394,1.42663,0.504223,3.75697,1.35603,0.733743,0.762393,0.915691,0.775734,3.31472,1.87779,1.78658,1.10726,1.54612,1.91627,2.97739,2.01364,3.2738,1.62262,1.7887,3.40588,3.54434,1.67778,2.94644,0.926534,1.48768,3.11196,2.21963,1.71928,3.12856,2.43942,2.46819,1.34531,1.82612,2.40109,1.39945,2.44255,2.67641,2.00634,1.81413,2.60027,2.03894,2.10191,2.25692,0.66727,1.99147,3.26855,0.762448,2.84814,2.71311,0.637488,1.24527,2.45302,0.716884,3.24349,2.42953,0.789577,1.04055,2.12264,0.892121,3.37818,2.55534,2.42411,0.986143,2.27506,2.31283,3.21312,2.73472,2.07074,1.10002,2.48394,2.19429,2.12187,2.77592,2.86801,2.01636,3.91117,2.67785,2.97736,3.39369,2.80471,1.20175,3.2303,2.90959
A93,M,35,A,Sufficient,2.57633,0.295858,1.10852,2.53563,0.990893,1.20339,2.51398,1.2492,1.08348,3.02981,1.76627,1.03026,1.98191,1.57129,1.18561,3.40315,1.89149,0.263628,1.6344,1.6126,0.335684,4.23031,1.45307,0.602722,0.975075,0.879541,0.468415,3.60658,1.97532,1.82918,1.34613,1.58103,1.90612,3.13759,2.10082,3.50315,1.83193,1.87752,3.6741,3.91105,1.71274,3.13437,1.11437,1.35798,3.16175,2.47422,1.76754,3.27362,2.67148,2.67848,1.51257,2.05315,2.61114,1.50386,2.69436,2.74385,2.19805,2.04503,2.7213,2.1592,2.37634,2.40009,0.619296,2.23867,3.55011,0.847688,3.21297,2.86582,0.680916,1.47826,2.57801,0.678399,3.55639,2.66968,0.827522,1.29277,2.29183,0.822417,3.71064,2.69105,2.82612,1.14747,2.35044,2.68302,3.40762,2.94263,2.38342,1.3221,2.60244,2.44584,2.31448,2.79163,3.18259,2.14581,4.11199,3.01416,3.2772,3.4878,3.21559,1.26119,3.30156,3.30099
A93,M,45,A,Sufficient,1.8056,0.3417,1.00759,1.99649,1.14963,1.19869,2.03692,1.45799,1.0466,1.55688,1.90611,1.18418,2.66894,1.8902,0.983105,3.0093,1.92367,0.162563,1.28824,2.01347,0.324479,3.7771,1.19051,0.452638,0.404021,1.408,0.467429,3.25921,1.87808,1.90765,0.981963,2.09524,1.99918,2.89457,2.06176,3.72584,1.58719,2.28904,3.87088,3.54402,1.49639,3.1867,0.694752,1.83397,3.43146,2.17886,1.89335,3.35995,2.49501,2.8295,1.53549,1.92966,2.90825,1.6022,2.58519,2.93976,2.28043,1.93434,3.04178,2.24091,2.18388,2.67163,0.63856,2.3082,3.84702,0.856788,3.11727,2.86048,0.707697,1.30111,3.06926,0.669132,3.35407,2.63146,0.74572,1.05675,2.79775,0.86813,3.5823,2.60904,3.03411,1.00729,2.87529,2.8862,3.34453,2.93443,2.52194,1.24404,3.07927,2.65683,2.27989,3.03054,3.33616,2.4292,4.37028,3.25639,3.37111,3.52863,3.39176,1.33453,3.71365,3.48329
A93,M,60,A,Sufficient,2.59364,0.533516,1.20496,2.66147,1.52341,1.41021,2.64224,1.79625,1.24268,3.19089,2.28131,1.15052,2.07544,2.16115,1.34254,3.573,2.39697,0.192544,1.77566,2.17402,0.412237,4.49712,1.72533,0.608377,0.916306,1.41416,0.648026,3.81005,2.49312,2.04032,1.55067,2.31641,2.22691,3.38894,2.84966,3.846,2.22556,2.57708,3.99418,4.31617,2.29273,3.34924,1.19842,2.10896,3.66247,2.70406,2.43923,3.60639,2.91178,3.30636,1.68781,2.3608,3.26981,1.72898,2.98183,3.47802,2.39458,2.33451,3.42391,2.39422,2.58107,3.01156,0.633607,2.53288,4.2836,0.827797,3.54136,3.40029,0.725301,1.60704,3.27053,0.784505,3.84339,3.23128,0.820457,1.42371,3.01254,0.937442,4.05726,3.32358,3.28533,1.37272,3.17234,3.09825,3.74636,3.61394,2.68408,1.57179,3.40686,2.8836,2.6925,3.61239,3.56433,2.60205,5.03505,3.32155,3.71132,4.2663,3.52179,1.56483,4.17262,3.66522
A95,NA,28,A,Sufficient,2.20342,0.576892,1.28531,2.16866,0.876154,1.32016,2.15211,0.930129,1.20427,2.74274,1.52743,1.1511,1.52493,1.39689,1.21556,3.12816,1.72848,0.410331,1.23799,1.55633,0.546218,3.65532,1.33829,0.843875,0.630789,1.05435,0.856092,3.24182,1.68028,1.72228,1.02436,1.48683,1.80161,2.84693,1.82276,3.08029,1.35519,1.63654,3.15313,3.40604,1.51656,2.74923,0.808546,1.36959,2.81515,2.09428,1.42793,2.93423,2.32801,2.36209,1.5697,1.71671,2.27803,1.45088,2.32422,2.41107,2.01102,1.76098,2.48769,2.01617,2.07037,2.22073,0.746604,1.98499,3.18146,0.944862,2.82881,2.58952,0.787816,1.20661,2.44853,0.891523,3.2115,2.33931,0.906217,1.01959,2.14516,0.921345,3.26362,2.31173,2.20503,0.867065,2.15061,2.32952,3.11902,2.52719,2.09231,1.05031,2.35974,2.0826,2.01685,2.51383,2.88755,1.89788,3.54436,2.71722,2.82683,3.07891,2.87222,1.12866,2.89271,2.82364
B31,F,21,B,Deficient,0.062225521,-1.039410697,-0.176764037,0.045791145,-0.963931429,-0.221539382,0.033455224,-0.825831206,-0.374167521,0.526644412,-0.573179794,-0.468569303,-0.517728776,-0.579963877,-0.391505869,1.060842575,-0.432293737,-1.040788274,-0.945246915,-0.415985663,-1.001537726,1.364241708,-0.594609622,-0.763531322,-1.353939758,-0.667458509,-0.730028696,1.064800076,-0.404452471,0.061477018,-1.103466204,-0.471748929,0.085987955,0.788686111,-0.346419673,1.216283417,-0.754330977,-0.284248326,1.205294514,1.2039261,-0.469709725,0.851045685,-1.206928965,-0.509057644,0.85405589,0.000815882,-0.481863198,1.078417411,0.28173735,0.362307578,-0.183536997,-0.309487375,0.322594303,-0.28946671,0.328024983,0.438418249,0.130347558,-0.265420381,0.424944275,0.3037881,-0.007415188,0.226489588,-0.740494657,-0.032657867,1.060375939,-0.661086034,0.682224118,0.583458398,-0.724718611,-0.703560109,0.532731603,-0.730781718,0.997464756,0.216926069,-0.64734581,-1.053979588,0.185391139,-0.652314561,1.066285317,0.182807463,0.311672283,-1.110993342,0.13627889,0.310954402,0.989597517,0.40718773,0.250275619,-1.064184929,0.356818104,0.215035346,-0.018588923,0.48206904,0.775970993,-0.017765998,1.364252094,0.65386336,0.70182365,0.887929146,0.744456166,-0.732891148,0.889184891,0.749251511
B31,F,28,B,Deficient,0.040253829,-1.164580028,-0.206064845,0.009313798,-1.024477206,-0.268577199,0.043132607,-0.884649473,-0.431222832,0.579242679,-0.610022395,-0.505511992,-0.524630969,-0.560223798,-0.502274779,1.016971848,-0.457103331,-1.138521687,-0.874891027,-0.451822451,-1.122028898,1.44841622,-0.625279442,-0.823121399,-1.323812039,-0.770842322,-0.740096585,1.079321814,-0.385281157,0.03686643,-1.067800831,-0.422080889,0.094010461,0.728985971,-0.403674783,1.266886089,-0.796256555,-0.28512202,1.32962039,1.233389304,-0.471856847,0.945020353,-1.193143887,-0.476746804,0.93035465,0.026834955,-0.536928233,1.153397075,0.269039032,0.379114197,-0.217805809,-0.298525424,0.370049836,-0.315809215,0.297135141,0.469563501,0.200526503,-0.358271106,0.517100122,0.203042927,-0.007027953,0.214283698,-0.859128686,-0.033108247,1.067888109,-0.743019714,0.720144651,0.563133087,-0.797229445,-0.789500706,0.591809396,-0.781193976,0.97827359,0.206857643,-0.693109928,-1.061288871,0.159597004,-0.701616905,1.079166307,0.183157738,0.362231873,-1.149201049,0.147599066,0.407994445,0.992105151,0.401452628,0.297681134,-1.018819748,0.344361636,0.269610247,0.0087035,0.5217632,0.887793546,-0.054395868,1.431757231,0.767289939,0.793609469,0.943674784,0.831802752,-0.793365588,1.017528303,0.862205077
B31,F,35,B,Deficient,0.011459138,-1.186033179,-0.392214948,0.032037805,-1.063098352,-0.371824327,0.016521448,-0.904199637,-0.491398341,0.56708,-0.573167186,-0.537625347,-0.550783031,-0.57544274,-0.520850463,1.077627778,-0.477842012,-1.266155149,-0.934633158,-0.477906467,-1.225660367,1.466404244,-0.744361637,-0.849702137,-1.356631072,-0.824674793,-0.891818329,1.11346664,-0.387783957,0.031510604,-1.062134737,-0.472919912,0.115433181,0.73729175,-0.283399837,1.375042852,-0.739744764,-0.229767815,1.382095351,1.263668073,-0.528443718,1.030441025,-1.26063085,-0.491563329,1.105557406,-0.007005857,-0.469986242,1.213076148,0.26347297,0.398502549,-0.243744154,-0.310487022,0.379952606,-0.321879291,0.255120438,0.473316174,0.232629668,-0.399321669,0.532904683,0.231917218,-0.049208877,0.19197115,-0.890714003,-0.039702336,1.091049612,-0.7464933,0.807054232,0.456762934,-0.80646861,-0.833918463,0.521886566,-0.855567218,1.07154095,0.319345812,-0.733941763,-1.081008439,0.159669234,-0.731909916,1.125393592,0.183371299,0.421708627,-1.202263259,0.117852708,0.478140046,1.031469095,0.417316109,0.334604947,-1.054977258,0.375625489,0.330231303,0.019172881,0.505201381,0.954996601,0.006299351,1.588468793,0.769761133,0.871500095,1.000606309,0.945158704,-0.854129687,0.976787404,0.925662848
B31,F,45,B,Deficient,-0.010896965,-1.238272159,-0.417826292,0.00553793,-1.080782735,-0.390092494,0.023418851,-0.882786434,-0.51694393,0.566271899,-0.614594469,-0.549378358,-0.533469833,-0.538657735,-0.566721065,1.076767106,-0.458542603,-1.304631025,-0.917221015,-0.495113276,-1.213478509,1.463733156,-0.755614213,-0.879483291,-1.374118174,-0.844743807,-0.823137347,1.111853096,-0.389994005,0.038578948,-1.081402499,-0.456126374,0.04982205,0.753640105,-0.289900695,1.413351858,-0.70021638,-0.223345521,1.436545282,1.322543501,-0.471453899,1.192965052,-1.291570261,-0.472523527,0.995578146,0.01877105,-0.467577149,1.249499373,0.297085229,0.377764442,-0.274675833,-0.304558864,0.404032899,-0.348525177,0.284628691,0.491331825,0.306280388,-0.397175171,0.532900349,0.237716433,-0.044898821,0.199625292,-0.983142887,-0.0629673,1.105992676,-0.82274704,0.77575268,0.446429829,-0.88519455,-0.820972576,0.432223376,-0.858169961,1.066631694,0.271325311,-0.75108498,-1.073170947,0.221926115,-0.779707291,1.120394359,0.193455864,0.42803055,-1.186715359,0.135402468,0.525103065,0.942490491,0.486036206,0.350700371,-1.055674858,0.382372181,0.351565067,-0.011949902,0.510022712,0.946193897,0.002778696,1.539027736,0.844147252,0.875324626,0.96883225,0.982520675,-0.840644234,0.981327068,1.01634162
B31,F,60,B,Deficient,2.0004,1.42643,1.86931,2.0386,1.64223,1.8479,2.0123,1.79107,1.73504,2.57854,2.07082,1.60124,1.42895,2.11484,1.68246,3.0141,1.99533,0.776275,1.0354,2.09905,1.0353,3.4891,1.80632,1.27902,0.54644,1.80613,1.47577,3.16823,2.33926,2.14755,0.976418,2.34212,2.34794,2.94749,2.71185,3.51868,1.53076,2.74099,3.55463,3.44197,2.34669,3.21258,0.793154,2.54154,3.45182,2.1348,2.47631,3.4035,2.33808,3.09395,1.75993,1.75777,3.06807,1.72484,2.39903,3.29282,2.36155,1.73651,3.34941,2.27173,1.97052,2.78898,1.06943,1.97246,3.72269,1.11318,2.84934,3.01388,1.13055,1.19646,3.09677,1.19176,3.0962,2.89314,1.24094,0.955337,2.85773,1.36485,3.23393,2.9946,2.46643,0.871583,2.99663,2.67339,3.10409,3.27144,2.36245,1.12027,3.29319,2.45751,2.16629,3.39177,3.01435,2.19619,4.4841,2.7954,3.05806,3.84872,2.92243,1.31282,3.87055,3.05535
