,ID,Age,GH,Group,Genotype,Sex,Weight,ECV,J_L1_X,J_L1_Y,J_L1_Z,J_L2_X,J_L2_Y,J_L2_Z,J_L3_X,J_L3_Y,J_L3_Z,J_L4_X,J_L4_Y,J_L4_Z,J_L5_X,J_L5_Y,J_L5_Z,J_L6_X,J_L6_Y,J_L6_Z,J_L7_X,J_L7_Y,J_L7_Z,J_L8_X,J_L8_Y,J_L8_Z,J_L9_X,J_L9_Y,J_L9_Z,J_L10_X,J_L10_Y,J_L10_Z,J_L11_X,J_L11_Y,J_L11_Z,J_L12_X,J_L12_Y,J_L12_Z,J_L13_X,J_L13_Y,J_L13_Z,J_L14_X,J_L14_Y,J_L14_Z,J_L15_X,J_L15_Y,J_L15_Z,J_L16_X,J_L16_Y,J_L16_Z,J_L17_X,J_L17_Y,J_L17_Z,J_L18_X,J_L18_Y,J_L18_Z,J_L19_X,J_L19_Y,J_L19_Z,J_L20_X,J_L20_Y,J_L20_Z,J_R1_X,J_R1_Y,J_R1_Z,J_R2_X,J_R2_Y,J_R2_Z,J_R3_X,J_R3_Y,J_R3_Z,J_R4_X,J_R4_Y,J_R4_Z,J_R5_X,J_R5_Y,J_R5_Z,J_R6_X,J_R6_Y,J_R6_Z,J_R7_X,J_R7_Y,J_R7_Z,J_R8_X,J_R8_Y,J_R8_Z,J_R9_X,J_R9_Y,J_R9_Z,J_R10_X,J_R10_Y,J_R10_Z,J_R11_X,J_R11_Y,J_R11_Z,J_R12_X,J_R12_Y,J_R12_Z,J_R13_X,J_R13_Y,J_R13_Z,J_R14_X,J_R14_Y,J_R14_Z,J_R15_X,J_R15_Y,J_R15_Z,J_R16_X,J_R16_Y,J_R16_Z,J_R17_X,J_R17_Y,J_R17_Z,J_R18_X,J_R18_Y,J_R18_Z,J_R19_X,J_R19_Y,J_R19_Z,J_R20_X,J_R20_Y,J_R20_Z,MSI_L_X,MSI_L_Y,MSI_L_Z,AIA_L_X,AIA_L_Y,AIA_L_Z,PZA_L_X,PZA_L_Y,PZA_L_Z,OAS_L_X,OAS_L_Y,OAS_L_Z,OA_L_X,OA_L_Y,OA_L_Z,ATS_L_X,ATS_L_Y,ATS_L_Z,MMP_L_X,MMP_L_Y,MMP_L_Z,AIF_L_X,AIF_L_Y,AIF_L_Z,LFS_L_X,LFS_L_Y,LFS_L_Z,IOS_L_X,IOS_L_Y,IOS_L_Z,MS_L_X,MS_L_Y,MS_L_Z,FTP_L_X,FTP_L_Y,FTP_L_Z,MST_L_X,MST_L_Y,MST_L_Z,TYM_L_X,TYM_L_Y,TYM_L_Z,AIZ_L_X,AIZ_L_Y,AIZ_L_Z,PTZ_L_X,PTZ_L_Y,PTZ_L_Z,ATZ_L_X,ATZ_L_Y,ATZ_L_Z,ANM_L_X,ANM_L_Y,ANM_L_Z,PM_L_X,PM_L_Y,PM_L_Z,ASA_L_X,ASA_L_Y,ASA_L_Z,PIF_L_X,PIF_L_Y,PIF_L_Z,PSA_L_X,PSA_L_Y,PSA_L_Z,NAS_X,NAS_Y,NAS_Z,BRG_X,BRG_Y,BRG_Z,LAM_X,LAM_Y,LAM_Z,SES_X,SES_Y,SES_Z,MSS_X,MSS_Y,MSS_Z,SOS_X,SOS_Y,SOS_Z,FC_X,FC_Y,FC_Z,MSI_R_X,MSI_R_Y,MSI_R_Z,AIA_R_X,AIA_R_Y,AIA_R_Z,PZA_R_X,PZA_R_Y,PZA_R_Z,OAS_R_X,OAS_R_Y,OAS_R_Z,OA_R_X,OA_R_Y,OA_R_Z,ATS_R_X,ATS_R_Y,ATS_R_Z,MMP_R_X,MMP_R_Y,MMP_R_Z,AIF_R_X,AIF_R_Y,AIF_R_Z,LFS_R_X,LFS_R_Y,LFS_R_Z,IOS_R_X,IOS_R_Y,IOS_R_Z,MS_R_X,MS_R_Y,MS_R_Z,FTP_R_X,FTP_R_Y,FTP_R_Z,MST_R_X,MST_R_Y,MST_R_Z,TYM_R_X,TYM_R_Y,TYM_R_Z,AIZ_R_X,AIZ_R_Y,AIZ_R_Z,PTZ_R_X,PTZ_R_Y,PTZ_R_Z,ATZ_R_X,ATZ_R_Y,ATZ_R_Z,ANM_R_X,ANM_R_Y,ANM_R_Z,PM_R_X,PM_R_Y,PM_R_Z,ASA_R_X,ASA_R_Y,ASA_R_Z,PIF_R_X,PIF_R_Y,PIF_R_Z,PSA_R_X,PSA_R_Y,PSA_R_Z
A2021,A20,21,Sufficient,A,ghrhr-/+,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2028,A20,28,Sufficient,A,ghrhr-/+,F,16.2,39.906335,10.0698,12.3453,4.52678,10.3557,12.4223,6.99159,11.383,9.38367,10.4053,12.207,5.82698,13.6722,10.7354,9.07174,12.1431,11.291,10.5304,9.30366,10.0962,13.4992,9.95779,11.1334,12.3517,11.903,10.4718,13.3442,8.21131,12.468,5.8001,11.7773,12.2508,6.56866,11.824,12.5141,5.71704,15.2202,12.3227,8.53762,15.0055,12.4358,8.85918,16.5156,11.8162,9.86675,16.1599,11.8498,11.219,9.79994,12.1142,7.78029,13.8709,11.8542,9.62623,13.6547,10.7453,9.99888,10.7341,10.7592,9.54742,11.5246,9.78425,12.3864,4.52888,9.03068,12.7159,6.8893,6.10646,10.5888,9.88484,3.09033,7.89023,12.5923,6.0439,10.0873,11.5607,7.11776,11.5494,8.83858,9.1756,13.7317,9.80681,7.29591,13.2013,11.3761,9.16887,13.6472,8.05593,3.38383,7.9774,10.7161,3.98785,8.60529,10.9042,2.48712,7.95668,14.0273,3.93618,10.3066,13.9341,3.61448,10.8829,15.5703,4.76061,11.4278,15.4164,6.56384,12.4115,9.35025,4.1077,9.66385,12.8223,5.19959,11.2954,12.9806,6.88491,10.8869,10.3352,6.51007,10.5758,11.0197,8.085,9.695,1.68,3.675,8.05,13.755,2.345,7.35,11.375,6.405,7.455,14.595,4.97,7.14,16.73,5.985,8.4,13.825,7.455,9.38,5.635,8.435,9.8,3.955,6.86,4.655,5.705,5.39,5.705,5.67,3.64,8.05,7.315,3.885,4.06,9.135,2.24,5.565,16.275,2.555,6.755,14.98,5.46,8.05,4.62,2.135,8.085,11.41,2.24,7.91,10.92,7.28,7.735,2.485,4.935,8.505,6.3,6.615,9.1,6.86,7.49,8.4,8.19,6.195,8.645,10.29,7.315,4.445,5.775,6.23,1.61,11.515,5.53,1.19,15.015,7.14,6.93,14.07,7.385,7.175,11.2,7.56,6.86,9.24,7.28,4.69,6.195,9.835,9.1,2.03,10.5,6.335,14.49,11.76,5.18,12.495,7.805,7.245,14.595,8.365,6.3,16.975,8.68,7.805,14.035,9.415,8.925,5.915,9.03,9.695,3.99,7.735,4.41,5.74,9.66,4.795,6.055,11.935,6.16,8.155,9.59,2.59,10.01,10.22,3.78,17.01,10.885,4.795,15.82,10.675,6.965,5.11,12.355,5.775,12.495,12.39,5.635,12.005,9.625,7.385,2.73,11.06,7.21,7,9.73,8.435,7.14,8.435,8.155,8.26,9.275,7.91,10.605
A2035,A20,35,Sufficient,A,ghrhr-/+,F,18.4,41.54334538,8.44663,12.8401,4.84926,8.91658,13.0443,7.55985,10.5663,10.1494,10.9303,12.1847,6.66363,14.1468,10.0854,9.64448,12.5868,10.2176,11.2478,9.76687,8.71136,14.1121,10.6566,9.95926,13.1351,12.4448,8.90338,14.0278,8.74819,12.3126,6.52278,12.2815,11.9392,7.37042,12.3312,12.5805,6.50805,15.772,11.9795,9.24366,15.4971,12.145,9.7346,17.2087,11.1423,10.7099,16.7334,10.7321,12.0219,10.2373,11.8057,8.53991,14.3318,11.2951,10.4822,14.0777,9.85874,10.6398,11.1987,9.92258,10.2097,11.9452,8.14626,12.777,4.79278,7.60374,13.105,7.50917,5.13082,10.6445,10.6811,2.7935,7.47493,13.7114,5.3093,10.0084,12.3885,5.97532,11.7143,9.63948,7.69433,14.1861,10.5074,6.12983,13.5489,12.0509,7.60716,14.1428,8.71556,2.77443,7.42861,11.8168,3.33626,8.10758,11.9769,2.19738,7.38281,15.4003,3.22835,9.88604,15.0639,2.92389,10.3543,16.8316,3.97353,11.2395,16.4895,5.36983,12.4349,10.0264,3.47468,9.31574,13.8496,4.37168,11.1794,13.966,5.89249,10.9402,11.0438,5.62367,10.5511,11.7361,6.335,9.52,2.135,3.29,7.595,14.805,1.96,6.685,12.495,6.265,7.49,15.365,4.935,6.825,17.745,5.74,8.33,14.665,6.265,9.485,6.125,7.105,10.045,4.165,6.3,4.585,6.265,4.725,5.46,6.335,2.73,7.595,8.05,3.815,3.605,10.115,2.45,5.04,17.36,2.415,6.16,16.24,4.445,7.875,5.18,1.61,7.385,12.6,1.61,7.35,12.005,5.985,7.735,2.905,3.955,8.295,6.965,5.67,9.135,7.385,6.65,8.505,8.715,5.635,8.61,10.92,6.825,4.445,6.37,6.755,1.68,12.215,6.58,1.12,15.96,7,7,14.84,7.035,7.28,11.83,7.035,7,9.94,6.79,4.76,6.65,8.435,9.695,2.205,10.395,7,15.085,11.655,5.88,12.88,7.63,7.385,15.435,8.47,6.65,17.675,8.365,8.085,14.595,8.295,9.275,6.195,7.7,9.94,4.235,7.315,4.515,6.3,9.135,5.075,6.51,11.48,6.86,8.225,9.695,3.115,10.36,10.675,4.34,17.745,11.235,5.495,16.345,9.835,7.455,5.355,12.285,6.685,12.845,12.285,6.545,12.285,8.505,7.595,2.94,10.22,7.77,7.245,8.855,8.82,7.455,7.63,8.435,8.68,8.68,8.4,10.99
A2045,A20,45,Sufficient,A,ghrhr-/+,F,18.9,41.940668,7.70178,12.9182,4.79403,8.03364,13.4328,7.87761,10.2352,11.0204,11.2803,12.6068,7.87559,14.6394,9.78176,10.4107,12.9244,9.61227,11.9533,10.1121,7.45092,14.4559,10.9951,9.00891,13.8345,12.8155,7.74942,14.4872,9.09103,12.7976,7.74265,12.7222,12.1669,8.57238,12.8518,13.0064,7.84242,16.3648,11.8647,10.3755,15.9839,11.9688,10.8876,17.5415,10.6024,11.673,17.1843,9.99782,12.8661,10.6458,11.8358,9.64233,14.8087,10.9135,11.5286,14.6597,9.39303,11.2573,11.5455,9.59328,10.8938,12.226,7.19956,12.9482,4.82512,6.5063,13.2393,7.88887,4.86149,10.2703,11.0925,3.23031,6.54756,14.1742,5.19763,9.72558,12.6848,5.31057,11.4183,9.95091,6.61057,14.2605,10.9531,5.09774,13.2214,12.6035,6.41751,14.2936,9.04528,3.18339,6.47354,12.2671,3.55171,7.28285,12.3876,2.64381,6.24385,16.0112,3.17988,9.02629,15.6299,2.79176,9.47299,17.3881,3.68605,10.5316,17.0379,4.57281,12.1814,10.4899,3.50027,8.53708,14.291,4.03666,10.6048,14.405,5.49078,10.6654,11.3437,5.34953,10.2367,12.0361,6.02,9.1,2.275,3.57,6.895,15.33,2.52,5.6,12.985,6.475,7.42,15.82,5.355,6.545,18.165,5.705,8.085,15.085,6.02,9.345,6.3,6.72,10.08,4.305,7.14,4.515,6.58,5.355,5.04,6.615,2.905,6.685,8.33,4.935,3.045,10.57,3.325,4.235,18.06,2.975,5.32,16.765,4.62,7.315,5.46,1.855,6.335,12.985,1.82,6.23,12.425,6.23,7.525,3.01,4.095,7.56,7.28,5.495,8.855,7.56,6.615,8.505,8.995,5.495,8.365,11.2,7.63,4.55,6.65,8.155,1.855,12.88,8.19,1.33,16.52,7.21,7.175,15.33,7.105,7.35,12.18,7.245,7.105,10.22,7.63,4.795,7.14,8.26,9.45,2.345,10.64,7.84,15.575,12.18,7.035,13.405,7.84,7.665,15.82,8.785,7.105,18.095,8.295,8.435,15.015,8.12,9.66,6.3,7.28,10.22,4.27,8.19,4.62,6.615,9.835,5.635,6.72,11.69,7.98,8.575,10.745,3.78,10.885,11.515,5.355,18.165,11.62,6.44,17.185,9.94,8.155,5.53,12.565,7.945,13.335,12.635,7.77,12.775,8.68,7.805,3.15,10.36,8.54,7.49,8.715,9.31,7.7,7.595,8.645,8.995,8.61,8.82,11.34
A2060,A20,60,Sufficient,A,ghrhr-/+,F,22.1,42.16640487,9.13648,14.1157,5.40184,9.46008,14.1797,8.52904,10.9278,10.8105,11.6978,12.2385,6.69696,14.8093,10.2547,10.1934,13.2801,10.5578,12.0848,10.6222,9.16417,14.9775,11.8829,10.4411,13.7011,13.6763,9.52867,15.165,9.97287,12.4544,6.73246,12.8238,12.1235,7.5723,12.9449,12.5797,6.41179,16.6735,12.2486,9.3145,16.3681,12.4481,9.63341,18.0385,11.3097,10.7557,17.6939,11.2596,12.8821,11.4046,11.9921,8.76107,15.1872,11.6522,10.7966,15.0506,10.2149,11.2078,11.9806,10.2251,10.7376,12.6724,8.83444,14.1525,5.37252,8.05491,14.3652,8.50144,5.40253,11.3911,11.192,2.78432,7.85322,14.1879,5.63291,10.7768,12.9473,6.24635,12.4875,10.3424,8.06336,15.0849,11.8101,6.35184,14.2105,13.3214,8.15652,15.325,9.80202,2.905,8.06249,12.155,3.42418,8.71938,12.4332,1.99049,7.37456,15.8029,3.22229,10.327,15.8351,2.81941,10.7237,17.6506,3.98226,11.5521,17.4506,5.73457,13.4949,10.8989,3.54768,9.92403,14.4277,4.47055,11.8002,14.8256,6.20384,11.7036,11.7083,5.95508,11.2904,12.3843,7.105,10.885,2.275,3.255,7.665,15.54,1.925,7,12.95,6.195,7.455,16.065,4.795,6.58,18.375,5.74,8.365,15.47,6.825,10.465,6.335,7.805,11.2,4.585,6.685,5.285,6.37,4.97,6.265,6.475,2.87,8.435,8.505,3.815,4.025,10.22,2.205,4.865,17.815,2.1,6.195,16.625,5.075,9.065,5.39,1.54,7.665,13.055,1.505,7.77,12.355,6.65,8.925,2.94,4.305,9.1,7.315,5.985,9.94,7.875,6.965,9.17,9.135,5.81,9.1,11.41,7.035,5.18,6.44,6.65,1.925,12.39,6.195,1.015,15.995,6.965,7,15.575,7.14,7.525,12.39,7.245,7.42,10.36,7.07,5.285,6.93,9.17,10.92,2.45,10.395,6.755,15.89,11.76,5.81,13.65,7.56,7.315,16.1,8.295,6.195,18.445,8.33,7.98,15.505,8.89,10.255,6.51,8.365,11.095,4.655,7.63,5.11,6.475,9.52,5.67,6.65,11.935,7.245,8.995,9.625,3.22,10.745,10.5,3.85,18.27,10.99,5.005,17.395,10.325,8.26,5.635,12.39,6.545,13.755,12.53,6.475,13.125,9.065,8.26,3.255,10.745,8.33,7.805,9.31,9.52,8.05,7.98,8.995,9.17,8.855,8.715,11.62
A2421,A24,21,Sufficient,A,ghrhr-/+,M,10.8,36.7389015,9.40635,13.272,3.00232,9.75752,13.2654,5.157,11.1788,9.83528,8.13279,12.3545,6.38541,10.2073,10.8688,9.14149,9.88265,10.931,11.2024,7.26712,9.58745,13.7454,8.33218,10.6695,12.6044,9.76771,9.92059,13.8758,6.72523,12.4661,6.56758,8.61168,12.206,7.26901,8.88494,12.8124,5.811,11.9341,12.256,8.38426,12.1112,12.4086,8.47043,13.5892,11.5738,9.50337,13.3148,11.5155,11.7624,7.89754,12.1976,7.80936,10.9255,11.5992,9.80654,11.1926,10.518,10.4115,8.58256,10.4318,9.96977,9.15526,9.21067,13.3123,3.0279,8.71942,13.3415,5.10635,6.00211,10.6973,7.80553,3.50129,7.70382,10.0926,5.66687,10.0959,9.68419,6.66427,11.8454,7.06271,8.61915,13.9235,8.24576,6.98977,13.1362,9.64982,8.61387,14.1027,6.60217,3.52802,7.9135,8.44141,4.12185,8.69845,8.8075,2.7321,7.32369,11.5225,4.09467,9.81053,11.7714,3.82475,9.88636,13.2934,4.8216,10.6854,13.1207,6.27527,12.5756,7.58318,4.08313,9.15466,10.6795,5.18098,10.7592,10.9707,6.64975,11.0493,8.42885,6.41697,10.5389,9.05705,7.35,10.885,0.805,3.815,7.385,11.375,2.66,7.07,9.17,6.58,6.86,12.215,5.46,5.95,13.965,6.265,7.805,11.655,7.175,10.395,4.2,8.05,11.025,2.695,7,5.775,3.22,5.355,6.86,3.5,3.71,8.75,5.39,4.095,4.41,6.405,2.66,4.445,13.58,2.765,5.95,12.355,5.355,9.24,3.115,2.415,7.735,9.485,2.52,7.805,8.785,6.86,9.275,1.085,4.9,9.345,4.69,6.335,9.765,5.355,7.35,8.855,6.37,6.23,8.96,8.085,7.385,5.67,3.255,6.79,1.855,7.98,6.475,0.49,11.445,7.35,6.44,11.62,7.49,7.315,9.065,7.525,7.42,7,7.35,6.055,3.43,9.24,10.43,0.77,10.71,6.16,11.585,11.83,5.39,9.485,7.875,6.65,12.215,8.715,5.46,14.175,8.68,7.385,11.725,9.03,9.975,4.34,8.61,10.885,2.73,7.91,5.6,3.29,9.555,6.02,3.535,11.76,7.28,5.67,9.8,3.395,6.72,10.85,3.255,13.545,11.13,4.445,12.705,10.43,8.505,3.22,12.355,6.02,9.695,12.39,5.985,9.205,9.275,8.82,1.26,10.85,8.26,4.865,9.555,9.205,5.425,8.295,8.75,6.37,9.17,8.19,8.54
A2428,A24,28,Sufficient,A,ghrhr-/+,M,19.3,39.61079763,13.2328,12.4346,5.01894,13.1227,12.1228,7.50997,12.9557,8.89326,10.7934,12.1337,4.89846,13.5879,11.9227,8.54279,12.5433,13.1565,10.0977,9.91285,12.9203,13.1318,10.884,13.2832,11.6204,12.7151,13.4115,13.0976,9.06569,12.6182,5.09904,11.6392,12.5604,6.01826,12.0488,12.1076,4.4938,15.2401,12.7392,7.20689,15.4436,12.8421,7.22924,17.0656,12.3519,8.61684,16.6196,13.8934,10.4357,10.5242,12.6389,6.704,14.0483,12.9784,8.74487,14.2292,12.3625,9.54214,11.2619,12.1753,9.07017,11.9599,12.9704,12.6084,4.95796,12.1047,13.0139,7.48069,8.35437,11.7551,10.0232,4.30961,9.82735,12.2133,7.79402,11.0193,11.5939,9.57513,12.3729,9.15212,12.0567,13.6691,10.6861,10.0639,13.6683,11.8732,12.275,13.8222,8.8339,4.67182,9.97091,10.3309,5.53836,10.4887,10.6164,3.60457,10.0325,13.6435,5.71945,11.8458,13.9727,5.17052,12.1688,15.6014,6.48493,12.2729,15.5794,9.25533,13.3135,9.80134,5.61658,11.2036,12.6966,7.19715,12.3738,13.206,9.03586,11.7018,10.5652,8.502,11.4349,11.2122,10.78,10.185,1.855,4.375,9.345,13.545,3.5,9.38,10.99,6.79,7.84,14.56,5.04,7.525,16.415,6.965,8.89,13.79,9.73,10.08,5.81,11.06,10.185,4.165,7.63,5.705,5.215,6.65,7.35,5.11,5.565,10.01,6.72,4.06,5.88,8.47,2.03,7.14,15.68,2.905,8.225,14.49,7.63,9.52,4.34,3.535,10.15,10.99,3.605,10.115,10.5,9.31,8.575,2.485,7.07,10.08,6.125,8.68,9.94,6.965,9.135,8.89,8.225,7.665,9.45,10.255,8.015,5.39,5.32,5.39,2.555,10.605,4.165,1.925,13.86,7.35,7.105,14.105,8.225,7.595,11.305,8.54,7.385,9.275,8.19,5.95,5.355,12.355,9.24,2.31,10.465,5.495,14.63,11.515,4.025,12.6,7.91,7.07,14.84,7.98,5.705,17.01,9.1,7.49,14.42,11.48,8.995,6.055,11.585,9.905,4.2,8.47,5.145,5.355,10.29,4.935,5.81,12.565,5.39,8.26,8.925,2.695,9.415,8.995,2.835,16.765,9.94,3.71,15.925,12.11,6.86,5.355,12.285,4.445,12.74,12.285,4.375,12.18,11.375,7.245,3.045,12.25,6.615,7.21,11.41,8.26,7.595,9.905,8.365,8.54,10.255,7.805,10.815
A2435,A24,35,Sufficient,A,ghrhr-/+,M,23.7,44.07297037,7.63057,13.2862,4.66042,8.04163,13.7353,7.51802,10.1867,11.3306,10.9431,12.4679,8.13101,14.2588,9.8583,10.7319,12.6866,9.54364,12.2276,9.79858,7.5912,14.7564,10.5971,9.09494,14.1508,12.3806,7.86593,14.6987,8.68072,12.5627,8.03101,12.2775,11.9345,8.87392,12.4429,12.9647,8.15704,16.0045,11.779,10.8049,15.8331,12.166,11.2199,17.5696,11.013,11.9627,17.0913,10.1031,13.0817,10.3417,11.8136,9.97734,14.349,10.8415,11.9401,14.1836,9.44708,11.5756,11.2861,9.64651,11.1965,12.0147,7.2331,13.2582,4.65438,6.57313,13.5968,7.55218,4.81376,10.7524,10.8627,3.0674,7.09624,14.1779,5.07639,10.1484,12.5408,5.25004,11.7645,9.69801,6.61335,14.6081,10.6037,5.17924,13.5423,12.4109,6.44429,14.503,8.5139,2.97863,6.96132,12.2022,3.41073,7.96287,12.2713,2.55825,7.04363,15.8825,3.12063,9.86271,15.5111,2.57471,10.268,17.3445,3.44144,11.0698,17.1234,4.5914,12.5195,10.1742,3.36631,9.1631,14.1442,3.81772,11.0166,14.0727,5.45878,11.1255,11.1816,5.2872,10.6905,11.9479,6.02,9.45,2.1,3.43,7.455,15.54,2.31,6.3,13.02,6.265,7.84,16.03,5.355,7,18.34,5.705,8.68,15.225,5.95,9.695,6.195,6.685,10.22,4.27,6.895,4.725,6.72,5.005,5.39,6.685,2.73,7.245,8.365,4.585,3.36,10.745,3.08,4.725,18.27,2.87,5.845,16.87,4.41,7.665,5.425,1.61,7.035,13.09,1.715,6.965,12.425,5.915,7.595,3.115,3.955,8.085,7.28,5.39,9.205,7.665,6.51,8.82,9.1,5.425,8.855,11.27,7.49,4.725,6.79,7.875,2.17,12.845,7.7,1.54,16.45,7.07,7.63,15.575,7.035,7.805,12.425,7.105,7.49,10.36,7.42,5.18,6.93,8.085,9.765,2.205,10.745,8.19,15.54,12.145,7.315,13.16,7.84,7.98,16.1,8.82,7.455,18.235,8.365,8.855,15.365,8.015,9.765,6.44,7.245,10.325,4.27,7.84,4.83,6.65,9.625,5.74,6.755,11.585,8.12,8.54,10.36,3.99,10.85,11.515,5.705,18.06,11.585,6.755,17.22,9.835,8.365,5.495,12.565,8.12,13.09,12.53,7.945,12.6,8.575,7.91,3.185,10.36,8.68,7.42,8.715,9.52,7.735,7.525,8.925,9.065,8.645,9.135,11.375
A2445,A24,45,Sufficient,A,ghrhr-/+,M,26.1,44.76180013,5.84772,13.6495,5.0468,6.41733,14.0787,8.10345,9.37478,11.8989,11.2301,12.5863,9.03819,14.2478,9.3016,11.2093,12.9198,8.41192,12.7463,10.206,6.13588,14.8874,11.4494,7.91227,14.4585,13.0522,6.15555,14.9961,9.41944,12.5675,9.02427,12.2133,11.8015,9.69317,12.4601,13.2961,9.10229,16.1258,11.7336,11.2747,15.8676,12.0812,11.9125,17.906,10.6521,12.4753,17.4771,8.83628,13.6309,10.7285,11.604,10.7086,14.4411,10.2363,12.5823,14.5988,8.57505,12.0012,11.6481,8.93888,11.6437,12.3509,5.40328,13.5951,5.07729,5.10899,13.6455,8.18672,4.14949,10.2617,11.5445,3.45509,6.03284,14.8177,4.78169,9.71571,13.1071,4.30829,11.4589,10.4186,5.15714,14.4874,11.4336,4.09224,13.0683,13.3398,4.80571,14.528,9.49452,3.22507,5.9993,12.7724,3.56845,7.17477,13.0344,3.13511,5.7735,16.7283,3.06237,8.65217,16.4272,2.6046,8.84373,18.4251,3.4028,10.0259,17.9947,3.57297,12.0514,10.9246,3.35832,8.19458,14.9005,3.37508,10.1916,14.9586,4.75539,10.7186,11.8331,4.74477,10.2646,12.5021,5.145,9.485,2.275,3.815,6.405,16.135,2.695,5.25,13.58,6.65,7.595,16.345,6.125,6.405,18.69,5.775,8.19,15.68,5.11,9.485,6.51,5.6,10.325,4.41,7.21,4.76,6.65,5.145,5.005,6.86,2.555,6.265,8.715,5.46,2.94,10.85,4.27,3.71,18.69,3.5,4.76,17.465,4.025,7.245,5.53,1.96,5.74,13.72,1.925,5.74,12.95,5.25,7.525,3.08,3.5,7.49,7.63,4.725,8.855,8.015,6.16,8.75,9.275,5.215,8.47,11.515,7.7,4.865,6.65,9.065,2.275,12.845,9.555,1.68,16.38,7.42,7.42,15.925,7.175,7.665,12.565,7.07,7.42,10.535,7.63,5.18,6.965,6.825,9.975,2.205,10.885,8.75,15.645,12.285,8.19,13.125,8.05,8.015,16.31,9.31,7.56,18.375,8.4,8.89,15.575,7.175,10.15,6.335,6.055,10.465,4.375,8.015,5.04,6.58,9.59,6.37,6.685,11.235,9.03,8.365,10.955,4.62,10.675,12.39,6.3,18.165,12.215,7.49,16.905,9.205,8.995,5.425,12.565,9.065,13.09,12.53,9.03,12.425,7.77,8.505,2.87,9.8,9.345,7.315,7.875,9.905,7.77,7.035,8.995,9.135,8.295,9.415,11.375
